###❝에스페란토 어근❞, ❝(완전히 동일한) 에스페란토 어근❞   으로 구성된 행은、대응하는 치환 후 문자열이 존재하는 경우와 동일한 우선순위를 가지지만、 실제로는 문자열(한자) 치환을 수행하지 않는 것을 의미합니다.
에스페란토 어근##, 일본어 번역 루비##
beograd,베오그라드
berenic,베레니케
bergson,베르그송
beriber,각기
berkeli,버클륨
bernard,베르나르
bernikl,흑기러기
berserk,버서커
betonik,석잠풀
betoven,베토벤
beŝamel,베샤멜
bifaden,이선식
bifenil,바이페닐
bifilar,이선식
bigarad,쓴귤
bigarel,버찌
bignoni,능소화속
bismark,비스마르크
bistort,범꼬리
bizanci,비잔티움
bizanti,비잔티움
blabla!,수다떨다!
blakbas,블랙배스
blamanĝ,블랑망제
blanket,백지위임장
blastem,배반질
blastul,포배
blenore,농루
blizard,블리자드
bofront,보프롱
bogomil,보고밀
boksart,권투
bomarŝe,보마르셰
bombiks,누에나방
bonifac,보니파키우스
bonifik,보너스
bordozi,보르도지방
borneol,보르네올
bosanov,보사노바
boselaf,닐가이
bostrik,나무좀속
bosveli,유향나무속
botulin,보툴리눔독소
boviste,말불버섯속
boĵolez,보졸레
brabant,브라반트
brajton,브라이턴
brazili,브라질리아
brazilj,브라질리아
braĥiur,단미류
brevier,성무일도서
briofit,선태식물
brisban,브리즈번
bristol,브리스틀
brizeis,브리세이스
briĝurb,브리지타운
broclav,브로츠와프
bromeli,브로멜리아속
brunjon,천도복숭아류
bucefal,부케팔로스
buftalm,부프탈뭄속
bujabes,부야베스
bukmekr,북메이커
bukolik,목가
bukorak,코뿔새
bupleŭr,시호속
buprest,비단벌레
burgonj,부르고뉴
burgund,부르고뉴
burjati,부랴트
burundi,부룬디
busprit,선수사장
butanon,부타논
cekrops,케크롭스
celadon,셀라돈
celastr,노박덩굴속
celebes,셀레베스
celofan,셀로판
celsius,섭씨
cenobit,공동수도자
cenocit,다핵세포
cenotaf,위령비
centaŭr,켄타우로스
centiar,제곱미터
centuri,백인대
cerasti,점나도나물속
ceratin,케라틴
cerebel,소뇌
cerezin,세레신
cerkari,유미유충
cerumen,귀지
ceruzit,백연석
cervant,세르반테스
ceterak,약고사리
cetrari,세트라리아속
cianfit,남조류
ciceron,키케로
cimbidi,심비디움속
cimitar,언월도
cinamom,녹나무속
cinozur,개꼬리풀속
ciprian,키프리아누스
ciriped,만각류
cirkaet,뱀수리속
cistein,시스테인
cistron,시스트론
citozin,시토신
dafodil,수선화
darling,달링
datenop,레코드
daziped,아르마딜로과
dazipod,아르마딜로속
daŭfeni,도피네
debitor,채무자
decibel,데시벨
defaŭlt,기본값
deflaci,디플레이션
dejanir,데이아네이라
dekalin,데칼린
dekapol,데카폴리스
dekubit,와위
delavar,델라웨어강
delfini,제비고깔
delonik,봉황목속
demeter,데메테르
demetri,데메트리오스
demiurg,데미우르고스
demotik,민중문자
dendrit,수상돌기
depresi,우울
dermest,수시렁이속
descend,하강
desmodi,도둑놈의갈고리
detempr,템페라화
detrojt,디트로이트
devalut,평가절하
deviaci,일탈
dezider,데시데리우스
deŭteri,중수소
diaklaz,절리
diakrit,변별
diapaŭz,휴면
diapsid,쌍궁류
diaspor,디아스포라
diastaz,디아스타아제
diastol,확장기
diatome,규조류
diazoni,디아조늄
diderot,디드로
difrakt,회절
digital,디기탈리스
diglosi,다이글로시아
digresi,일탈
dikotom,이분
diktamn,딕탐누스
diodont,가시복속
diofant,디오판토스
dioksan,다이옥산
dioksin,다이옥신
diomede,앨버트로스
dionizi,디오니시오스
dioptri,디옵터
dioskur,디오스쿠로이
diospir,감나무속
dipleks,이중통신
diplopi,복시
direkci,이사회
disdegn,경멸
diskant,소프라노
diskord,불일치
diskurs,담론
dispers,분산
divizor,약수
dolikot,마라속
doliĥot,마라
dolomit,백운석
domicil,주소
dominik,도미니코
donjuan,돈후안
donĵuan,돈후안
dresden,드레스덴
dromice,에뮤속
dukdalb,계선말뚝
dulcine,둘시네아
dumping,덤핑
dunkirk,됭케르크
dupleks,이중통신
durativ,지속상
duumvir,이인관
ecispor,녹포자
edentat,빈치류
efedrin,에페드린
eglefin,해덕
egopodi,왜방풍
ejektiv,방출음
ekaŭdat,무미류
ekdison,엑디손
ekinokl,피
ekinops,절굿대속
ekinozo,성게아문
eksklud,배타적인
ekskori,찰과
ekspekt,기댓값
ekspert,노련한 사람
eksplic,명시
eksplik,설명
ekstens,신전
eksterm,몰살
ektropi,눈꺼풀외반
ekvador,에콰도르
ekvaliz,이퀄라이즈
ekvizet,쇠뜨기
ekzegez,주해
ekzocet,날치속
ekzoter,공개교의
ekzotik,이국적
elaidat,엘레아파
elastin,엘라스틴
elateri,분출오이
eldorad,엘도라도
eleonor,엘레오노르
eletari,소두구속
eleŭzis,엘레우시스
eliezer,엘리에셀
elokuci,수사표현
elsinor,엘시노어
elzevir,엘제비어
emanuel,임마누엘
emberiz,멧새
emetrop,정시
emfizem,기종
emilian,에밀리아누스
empenal,수평꼬리날개
emulsin,에멀신
enantem,점막발진
enantio,거울상
encefal,뇌
encelad,엔켈라두스
engadin,엥가딘
engraŭl,멸치
ensembl,앙상블
ensifer,여치아목
entalpi,엔탈피
entimem,생략삼단논법
entolom,외대버섯속
entropi,엔트로피
envelop,포락선
eonotem,누대층
epakrid,에파크리스속
ependim,뇌실막
epentez,음삽입
eperlan,빙어
epidaŭr,에피다우로스
epikant,몽고주름
epikarp,외과피
epiktet,에픽테토스
epilobi,바늘꽃
epistat,상위성
epistem,인식
epistol,서신
epiteli,상피
epsilon,엡실론
erantid,너도바람꽃
erepsin,에렙신
eretism,흥분항진
ergativ,능격
ergotin,에르고틴
eriofor,황새풀
eritren,데이고속
eritroz,에리트로스
eskalon,제대
eskalop,에스칼로프
eskulap,아스클레피오스
eskulin,에스쿨린
etologi,동물행동학
everest,에베레스트
ezekiel,에제키엘
eĥolali,반향언어
eŭfaŭzi,크릴
eŭforbi,대극
eŭfrazi,좁쌀풀속
eŭgenik,우생학
eŭmenid,에우메니데스
eŭpepsi,양호소화
eŭridic,에우리디케
eŭripid,에우리피데스
eŭstaki,에우스타키오
fabrici,파브리키우스
fagopir,메밀
fakoĉer,혹멧돼지
faktori,상관
falangi,장님거미속
falarid,갈풀속
falarop,지느러미발도요
fandang,판당고
fantasi,기마축제
fantasm,환상장면
fantast,환상문학
faradiz,감응전기
fasciol,간흡충
federal,연방
femural,넙다리뼈
fenetol,페네톨
fenikur,딱새속
fenilen,페닐렌
fermion,페르미온
fernand,페르난도
ferolag,페룰라고속
feromon,페로몬
fibroin,피브로인
filandr,유사
filatel,우표 수집
filemon,필레몬
filipik,탄핵연설
filipin,필리핀
filistr,속물
filomel,필로멜라
filtrum,인중
fimbril,술가장자리
finitiv,정동사형
finland,핀란드
finmark,핀마르크
firmian,피르미안
fitolak,자리공속
fizalid,꽈리속
flamand,플라망인
flameng,홍학
flameri,플러머리
flamini,플라미니우스
flegmon,봉와직염
fleksor,굴근
flikten,물집
floreal,플로레알
florenc,피렌체
florian,플로리안
fluorit,형석
foliant,폴리오판
folklor,민속
fonemik,음소론
fonofor,보청기
fonolit,향암
forceps,겸자
formaci,층
forming,포르밍크스
forniks,궁륭
forsiti,개나리
fortran,포트란
fortres,요새
fosfoni,포스포늄
fragari,딸기속
fragmit,갈대
fraktur,골절
franĉiz,면책금
fridunu,냉량단위
frigori,프리고리
frikand,프리캉도
fritaŭn,프리타운
frontal,관상
fruntal,이마뼈
ftalein,프탈레인
fuleren,풀러렌
fuligul,댕기흰죽지
fumarol,분기공
fuzelaĝ,동체
fuzulin,방추충속
gaberon,가보로네
gaboron,가보로네
gabriel,가브리엘
galaksi,은하
galalit,갈랄리스
galapag,갈라파고스
galeops,갈레옵시스속
galikan,갈리칸
galilej,갈릴레이
galinag,꺅도요속
galinol,쇠물닭
galinul,쇠물닭
gambrin,감브리누스
gamelan,가믈란
ganimed,가니메데
garapan,가라판
garcini,가르시니아속
gargojl,가고일
gastrin,가스트린
gastrul,낭배
gaŭtama,고타마
genetik,유전학
genocid,집단학살
geofagi,흙먹기증
georgik,농사시
georgin,달리아
geotrup,소똥구리
geriatr,노년과의사
germani,게르마늄
gertrud,게르트루트
gesneri,게스네리아속
gibelin,기벨린파
gilbert,길버트
ginseng,인삼
gladiol,글라디올러스
glareol,제비물떼새
glasgov,글래스고
glaŭkom,녹내장
glediĉi,주엽나무속
gliceri,미꾸리광이속
glicine,콩속
gliptik,보석조각
glorioz,글로리오사속
glucini,글루시늄
glukuri,당뇨
gnafali,떡쑥속
gnostik,영지
gobelin,고블랭직
godfred,고드프레드
goliard,골리아르드
gomenol,고메놀
gondvan,곤드와나
gonokok,임균
gontran,공트랑
gradaci,점층법
gradual,미사성가집
grafiti,그래피티
gramine,벼과
granĉak,그란차코
gratiol,그라티올라속
graveti,그라베트문화
graviol,그라비올라
graŭvak,그레이와케
gregori,그레고리오
grenobl,그르노블
grenviĉ,그리니치
grizajl,그리자유
grizeld,그리젤다
guanghi,광시
gujjang,구이양
gumigut,등황
gurnard,성대
gutifer,물레나물과
gutural,후음
guĝarat,구자라트
guĵarat,구자라트
gvajani,기아나
gvarani,과라니
habitat,서식지
habutaj,하부타에
hadrian,하드리아누스
hajfong,하이퐁
haliaet,흰꼬리수리속
haliker,회색물범
haliĥer,회색물범
halofit,염생식물
halogen,할로겐
haltron,홀소자
halucin,환각
hamburg,함부르크
hamurab,함무라비
handbal,핸드볼
hangĝoŭ,항저우
hanibal,한니발
hanifit,하나피파
hanovri,하노버
hanuman,하누만
haploid,일배체
harakir,할복
hardvar,하드웨어
haŭsier,강세투기자
hedisar,산황기속
hedizar,단너삼속
helebor,헬레보루스
heliant,해바라기
helikon,헬리콘
helmint,연충
helsink,헬싱키
hematin,헤마틴
hematit,적철석
hematop,검은머리물떼새속
hematoz,혈액산소화
hendiad,이사일의
heparin,헤파린
hepatik,노루귀
herakle,어수리속
herbari,식물표본집
herbert,허버트
hercini,헤르시니아
hermini,밤나방
hermion,헤르미오네
herodot,헤로도토스
herpest,몽구스속
hesperi,헤스페리아
hevisid,헤비사이드
hiberni,히베르니아
hidatid,포충
hidrant,소화전
hidrast,히드라스티스
hidroni,하이드로늄
hidrops,수종
hidrore,장액분비
hieraci,조밥나물속
hifolom,개암버섯속
hilbert,힐베르트
himalaj,히말라야
himaĉal,히마찰
hinajan,소승
hioglos,설골설근
hipalag,전이수식
hiperik,물레나물
hiperon,하이페론
hipofiz,뇌하수체
hipogin,자방상위
hipolit,히폴리토스
hipoman,만치닐속
hipomen,히포메네스
hipotal,하층균사
hipurid,말즘속
hirkani,히르카니아
hiroŝim,히로시마
hirudin,히루딘
holding,지주회사
holivud,할리우드
holocen,홀로세
holoste,전골어
homoide,사람상과
homotet,닮음확대
homotop,호모토픽
honkong,홍콩
honolul,호놀룰루
honorat,호노라투스
hordeol,다래끼
hosana!,호산나!
hotujni,어성초
houston,휴스턴
hoĉimin,호찌민
hugenot,위그노
huligan,훌리건
idomene,이도메네우스
ifigeni,이피게네이아
ilinojs,일리노이
ilmenit,일메나이트
imanent,내재
imbecil,치우
imortel,불멸화
impetig,농가진
impregn,함침
inanici,영양결핍
incendi,화재
inciziv,앞니
incizur,패임
indiani,인디애나
indoĉin,인도차이나
indukci,유도
infarkt,경색
infiltr,침윤
infinit,무한
inflaci,인플레이션
inicial,머리글자
inkrust,상감
inkvart,사절판
inocent,무죄
insulin,인슐린
interez,이자
intuici,직관
invenci,착상법
inversi,도치
ipsilon,입실론
iredent,영토회복
irigaci,관개
irkutsk,이르쿠츠크
israfil,이스라필
iteraci,반복
izohips,등고선
izokrat,이소크라테스
izopren,이소프렌
izraeli,이스라엘
jadvinj,야드비냐
jagelon,야기에우워왕조
jakelin,자클린
jakoben,자코뱅
janiĉar,예니체리
jaroviz,춘화
jatagan,야타간
jehojad,여호야다
jenisej,예니세이
jokoham,요코하마
jonatan,요나단
jonkvil,황수선
jugular,경정맥
jukatan,유카탄
jupiter,유피테르
jutland,유틀란트
juvenal,유베날리스
kabared,카바레
kabaret,카바레
kadastr,지적
kaguang,날원숭이
kajafas,가야바
kajeput,카유풋
kakeksi,악액질
kakemon,족자
kakinok,감
kakosmi,악취증
kalabar,칼라바르
kalabas,조롱박
kalabri,칼라브리아
kalahar,칼라하리
kalamin,칼라민
kalandr,캘린더가공
kalcitr,뒷발질
kaleval,칼레발라
kaliban,캘리번
kaliceb,티티원숭이속
kaligul,칼리굴라
kalikat,콜카타
kalimaĥ,칼리마코스
kalkane,종골
kalmuki,칼미키야
kalosom,먼지벌레속
kaloĉaj,칼로차이
kalumet,평화파이프
kalvari,갈보리
kamabok,가마보코
kamadev,카마데바
kamaril,측근단
kambium,형성층
kamemel,카모마일속
kamemor,클라우드베리
kamerun,카메룬
kamikaz,가미카제
kamoens,카몽이스
kampani,캄파니아
kampanj,캠페인
kampuĉe,캄푸치아
kampuĉi,캄푸치아
kamĉatk,캄차카
kanazav,가나자와
kanefor,카네포로스
kanelon,카넬로니
kanguru,캥거루
kanistr,깡통
kanoniz,시성
kapacit,용량
kapetid,카페왕조
kapibar,카피바라
kapilar,모세
kapitat,유두골
kapitol,의사당
kapitul,두상화서
kapriol,까불며 장난치다
kapstad,케이프타운
kapstan,캡스턴
kapuĉin,카푸치노
karadri,물떼새
karafic,윤조강
karafit,윤조류
karagan,골담초속
karakal,카라칼
karakas,카라카스
karakol,선회
karaktr,글자
karakul,카라쿨
karaoke,가라오케
karapac,등딱지
karavaĝ,카라바조
karavel,캐러벨
karduel,방울새속
karinti,케른텐
kariops,영과
karitat,자선
karneol,홍옥수
karolin,캐롤라인
karoten,카로틴
karotid,경동맥
kartezi,데카르트
kartuzi,카르투시오회
kartvel,조지아
karunkl,소구
kasandr,카산드라
kasiope,카시오페이아
kastane,밤나무속
kastili,카스티야
kastore,해리향
kastriz,캐스트리스
kastrum,로마군영
kasulet,카술레
katabol,이화
katafor,후방조응
kataliz,촉매
katalun,카탈루냐
katastr,지적부
kategat,카테가트
katekol,카테콜
katerin,카테리나
kateter,카테터
katilin,카틸리나
katokal,밑날개나방속
kavatin,카바티나
kavator,굴착기
kazimir,캐시미어천
kaĉalot,향유고래
kaĥeksi,악액질
kaŭkazi,캅카스
kaŭlerp,옥덩굴속
kaŭpoks,우두
kaŭstik,부식성
keirant,월플라워
kelicer,협각
kelifer,메뚜기아목
kembriĝ,케임브리지
kenomel,명자나무속
kentuki,켄터키
keratin,케라틴
kerosen,등유
kerulen,케룰렌강
kestrel,황조롱이
kikerik,꼬끼오
kikihar,치치하얼
kiliasm,천년왕국설
kinemat,영화
kinetik,동역학
kingdaŭ,칭다오
kinghai,칭하이
kinolin,퀴놀린
kiribat,키리바시
kirkhof,키르히호프
kiŝinev,키시너우
kjongĵu,경주
kladodi,엽상경
kladoni,꽃이끼
klamidi,클라미디아
klangul,바다꿩
klarion,클라리온
klavari,싸리버섯속
klavikl,쇄골
klaŭdin,클로딘
klaŭstr,회랑
klement,클레멘스
klimaks,절정
klinker,클링커벽돌
klitori,나비콩속
klodvig,클로비스
klotild,클로틸드
klozone,칠보
knedlik,경단
knokaŭt,녹아웃
koalici,연합
kobitid,미꾸리
kodicil,유언보충서
kohinur,코이누르
kokcidi,콕시듐
kokerik,꼬끼오
kokolit,코콜리스
kokolob,바다포도속
kolagen,콜라겐
koledok,총담관
kolerik,담즙질
kolimat,시준
kolobom,결손
koloman,콜로만
kolorad,콜로라도강
kolostr,초유
kolumbi,컬럼비아
kolumel,중축
komatul,바다나리
kombajn,콤바인
kombine,작업복
kombret,콤브레툼속
komedon,면포
komelin,닭의장풀속
komifor,몰약나무속
komisur,교련
komodor,준제독
kompakt,조밀
komplic,공범
kompoŝt,퇴비
kompton,콤프턴
kompuls,강제
kompund,복합
komtang,곰탕
komunon,통약
konakri,코나크리
koncili,공의회
kondens,응축
kondrom,연골종
kondukt,전도
konferv,해캄
konfesi,고백하다
konfuce,공자
kongest,울혈
konifer,침엽수
konklav,콘클라베
konsign,위탁판매
konsili,조언하다
konsome,콩소메
konstip,변비
kontoid,자음적음
kontrah,수축
konveks,볼록
konvekt,대류
konvent,수도원
konvers,서로 대화하다
konverĝ,수렴
konvikt,유죄판정
konzern,콘체른
konĉert,협주곡
kopepod,요각류
koralin,산호말속
kordial,강심주
koregon,송어
koreops,금계국속
koridal,현호색속
korifen,황새치자리
korneli,코르네유
kornval,콘월
koronel,코로넬라속
koronil,코로닐라속
koronul,부화관
korteks,피질
kortici,고약버섯속
kortiko,피질
koĉoide,깍지벌레상과
krangon,자주새우속
kreatin,크레아틴
kredenc,찬장
krejcer,크로이처
kremaci,화장
krement,증감
kretace,백악기
krikoid,윤상연골
krinoid,바다나리강
krinozo,바다나리아문
kriofor,저온전달기
kriolit,빙정석
kripton,크립톤
kristin,크리스틴
krizeis,크리세이스
krokant,크로캉
kromist,크로미스타계
kromleĥ,환상열석
kromvel,크롬웰
krupier,크루피에
kruzejr,크루제이루
ksantin,크산틴
ksantip,크산티포스
ksantom,황색종
ksifoid,검상돌기
kukland,쿡제도
kukumis,오이속
kulinar,요리
kulvert,암거
kumarin,쿠마린
kumulus,적운
kunaŝir,쿠나시르
kunming,쿤밍
kuperoz,안면홍조
kupidon,큐피드
kuratel,후견
kurkuli,바구미
kurland,쿠를란트
kusinet,베어링부시
kustard,커스터드
kvadrig,사두전차
kvangĵu,광주
kvantum,양자
kvarcit,규암
kvartan,사일열
kvartet,사중주
kvartir,숙영
kvasiin,콰신
kvestur,재무관직
kvintal,100kg
kvintet,오중주
kvivit!,짹짹!
labrusk,여우포도
ladisla,라디슬라오
lagopod,뇌조속
lagranĝ,라그랑주
lakolit,라콜리스
laktari,젖버섯속
lambert,람베르트
laminat,압연
lampetr,칠성장어속
lampion,등롱
lamprid,붉평치
langust,닭새우
langvor,무기력
laniari,대형목양견
lanolin,라놀린
laodike,라오디게아
laokoon,라오콘
lapidar,비문풍
lasteks,라스텍스
lateral,설측음
lateran,라테라노
laterit,라테라이트
latisim,광배근
lavsoni,헤나
lazaret,검역소
lazaron,부랑자
lazurit,청금석
laŭrazi,로라시아
laŭrenc,로렌스
lebanon,레바논
lecitid,레키티스속
lecitin,레시틴
legaliz,합법화
legumen,꽂이
legumin,레구민
lejbnic,라이프니츠
lejpcig,라이프치히
lekanor,레카노라속
lemnisk,섬유띠
lentisk,매스틱나무
leonard,레오나르도
leopold,레오폴드
levator,올림근
levirat,형사취수
levuloz,과당
leŭcisk,황어속
leŭkant,불란서국화속
leŭkore,대하
licenci,학사
ligatur,결찰
ligustr,쥐똥나무
likorid,상사화
likvesk,조해
liliput,소인
lilongv,릴롱궤
limburg,림뷔르흐
limerik,리머릭
limonen,리모넨
limonit,갈철석
limuzin,리무진
linalol,리날로올
lingvik,언어학
linolen,리놀렌
linotip,라이노타이프
lipoliz,지방분해
listeri,리스테리아
litopon,리토폰
litorin,총알고둥
lizosom,리소좀
lizozim,라이소자임
logatom,로가톰
lokaliz,위치파악
lokativ,처격
lombard,전당
lorelej,로렐라이
luarval,루아르계곡
lucifer,루시퍼
luizian,루이지애나
lukreci,루크레티우스
luksaci,탈구
luminal,루미날
lutreol,유럽밍크
luzitan,루시타니아인
macedon,마케도니아인
macutak,송이버섯
magazin,신문
magelan,마젤란
magistr,석사
magnezi,마그네슘
magnoli,목련
mahajan,대승
maharaĝ,마하라자
mahavir,마하비라
mahomet,무함마드
majonez,마요네즈
majoran,마조람
majorat,장자상속
majtrej,미륵
majuskl,대문자
makedon,마케도니아
makenzi,매켄지
maksvel,맥스웰
malabar,말라바르
malagas,말라가시
malajal,말라얄람
malajzi,말레이시아
malonil,말로닐
malvazi,말바시아
manaĝer,매니저
mandibl,아래턱뼈
mandorl,타원후광
mandren,맨드릴
mandril,맨드릴
maneken,마네킹
mangrov,맹그로브
manhejm,만하임
manihot,카사바속
manikur,매니큐어
manitob,매니토바
manĉuri,만주
marabut,성자은자
marasmi,낙엽버섯속
maraton,마라톤
maraved,마라베디
marcial,마르티알리스
margraf,변경백
marketr,상감목공
markist,마르크스주의자
maronit,마론파
marsejl,마르세유
marsupi,육아낭
martini,마티니
maseter,깨물근
mastoid,꼭지돌기
masturb,자위
matutin,조과
maŭrici,모리셔스
mecenas,마이케나스
mecenat,후원
mediaci,조정
mediant,중음
medikag,개자리
melanin,멜라닌
melanom,흑색종
melburn,멜버른
melilot,전동싸리
melinit,멜리나이트
melkior,멜키오르
meloman,음악애호
melopep,페포호박
meluzin,멜뤼진
menandr,메난드로스
meniant,조름나물속
menonit,메노나이트
menstru,월경
menuver,다람쥐모피
merkuri,메르쿠리우스
merovid,메로빙거
mesalin,메살리나
mesidor,메시도르
metabol,대사
metadon,메타돈
metatez,음위전환
metilen,메틸렌
metodik,방법론
metoksi,메톡시
midriaz,산동
mikoriz,균근
mikstur,합제
militar,군사
miltiad,밀티아데스
milvoki,밀워키
mindana,민다나오섬
minesot,미네소타
minijup,미니스커트
minuskl,소문자
mirabil,분꽃속
misgurn,미꾸리
misisip,미시시피강
miskant,억새
misteri,신비극
mistral,미스트랄
misĥant,억새속
mitilen,미틸리니
mitrajl,산탄철편
mizogin,여성혐오
miĉigan,미시간
mocarel,모차렐라
modilon,모딜리온
mogadiŝ,모가디슈
mohamed,무함마드
mokasen,모카신
monazit,모나자이트
monitor,모니터
monodor,모노도라속
monosom,단염색체성
monrovi,몬로비아
monster,몬스테라속
montajn,몽테뉴
montanj,몽테뉴
motacil,할미새
mozarab,모사라베
mucilag,점액
mudeĥar,무데하르
mukoral,털곰팡이목
mulhaŭz,뮐루즈
municip,지자체
mustang,머스탱
musteri,무스테리안문화
muzikal,뮤지컬
naftali,납달리
nagasak,나가사키
najrobi,나이로비
nanling,난링
nanĉang,난창
narajan,나라야나
nargile,물담배
narteks,나르텍스
natural,자연
nazaret,나사렛
naŭkrat,파일럿피시
naŭsika,나우시카
nebrask,네브래스카
nebuloz,성운
nefridi,신관
negaton,음전자
nektari,밀선
nematod,선충
neofron,이집트독수리
neopren,네오프렌
neornit,신조류
neptuni,넵투늄
neritik,천해
nestori,네스토리우스
neŭtrin,중성미자
nikelin,양은
nistagm,안진
nokturn,야상곡
nomarki,노모스
normand,노르만
notofag,남방너도밤나무속
novisad,노비사드
nuakŝot,누악쇼트
nukleol,인
numeral,수사
numulit,화폐석
nunatak,누나탁
odalisk,오달리스크
oestron,에스트론
ofensiv,공세
okcipit,후두
okcitan,옥시탄
oklahom,오클라호마
oksalat,옥살산염
oksalid,괭이밥
oksazol,옥사졸
oksford,옥스퍼드
okshoft,혹스헤드
oksimor,모순어법
oksiton,끝강세
okulari,접안렌즈
okupaci,점령
okzalil,옥살릴
oldovaj,올도완
oleastr,보리수나무
olekran,주두
oleosom,유질체
olimpik,올림픽
omatidi,홑눈
onopord,오노포르둠속
oomikot,난균류
operkul,덮개
opilion,장님거미
opiniam,자기주장고집
optimum,최적
oratori,오라토리오
orbikul,둘레근
ordinat,세로좌표
ordovic,오르도비스기
oregoni,오리건
organdi,오건디
organik,유기
oriflam,오리플람
orleani,오를레아네
ornitop,조각류
orobank,초종용속
ortikon,오시콘
ovogoni,난원세포
pagipov,지불능력
paladin,팔라딘
palafit,호상가옥
palakvi,팔라퀴움속
palatal,경구개음
palatin,궁중백
palemon,징거미새우속
paleont,고생물
palestr,고대체육장
palikir,팔리키르
pamplon,팜플로나
pamplun,팜플로나
panaris,생인손
pandion,물수리
panegir,찬사
pankrac,판크라티온
panopli,무구일식
panteon,판테온
panĝabi,펀자브
papajin,파파인
papaver,양귀비속
papavin,파파베린
papilom,유두종
papilot,컬종이
parados,후방방벽
parafiz,측사
parakor,파라코르
paranoj,편집증
parapet,난간벽
parcial,부분적
parmeli,파르멜리아속
parotid,이하선
parteni,화란국화
partikl,입자
partner,동료
parvenu,벼락출세
pastern,제관절
pasteŭr,파스퇴르
patagon,파타고니아
patienc,인내소리쟁이
patrini,마타리
patrokl,파트로클로스
patrone,직물도안
pavilon,파빌리온
paŭlini,파울리니아속
paŭzani,파우사니아스
pediatr,소아과의
pedicel,작은자루
pedikur,페디큐어
pedunkl,꽃자루
pektine,두덩근
pemikan,페미컨
penelop,페넬로페
penicil,푸른곰팡이속
peponed,호박열매
periant,화피
peridot,페리도트
perigin,주위
perigoz,페리괴
perikop,성서낭독구절
perpetu,페르페투아
persien,덧문
persvad,설득
perturb,혼란시키다
pervers,도착
pestiĉi,점상출혈
petazit,머위
petrark,페트라르카
petroni,페트로니우스
peŝavar,페샤와르
piamatr,연막
piemont,피에몬테
pigment,색소
pikador,피카도르
pikardi,피카르디
piknidi,분생자각
pikolin,피콜린
piksidi,개과
pilozel,필로셀라
pilĉard,필처드
pinakol,피나콜
pinastr,해안소나무
pingven,펭귄
pingvin,펭귄
pinikol,솔잣새속
pinktad,진주조개속
pinofit,나자식물문
pipelin,파이프라인
piridil,피리딜
piridin,피리딘
pirofor,자연발화성
pistaci,피스타치오속
pitagor,피타고라스
placent,태반
plasmid,플라스미드
plasmod,변형체
plastid,색소체
platale,저어새속
platdiĉ,저지독일어화자
platism,넓은목근
plaĉenz,피아첸차
pleokro,다색성
pleŭrot,느타리속
pliocen,선신세
plumbag,풀협죽도속
plutark,플루타르코스
plutarĥ,플루타르코스
plutoni,플루토늄
pluvioz,우월
pneŭmat,공압
pneŭmon,폐
pnompen,프놈펜
podicip,논병아리
podkast,팟캐스트
polaron,폴라론
poliant,월하향속
polifem,폴리페모스
poligal,애기풀속
poliket,다모류
polikro,다색성
polimni,폴림니아
polinik,폴리네이케스
polinom,다항식
polipor,구멍버섯
politur,셸락칠
poliĥet,다모류
polonez,폴로네즈
poltron,겁쟁이
pomoide,사과아과
porfiri,청계속
portepe,검대
posesiv,소유격
posthum,사후
potenci,전위
potiron,호박
potsdam,포츠담
pozidon,포세이돈
poziton,양전자
pozolan,포졸란
pragmat,실용
prakrit,프라크리트
prebend,성직록
precept,계율
precesi,세차운동
precioz,허세
predikt,예정
prefaci,감사송
premier,초연
premium,보험료
prepost,주임사제
prepuci,포피
prerial,목초월
presbit,랑구르속
prestiĝ,위신
pretori,프리토리아
prevent,예방
prezenc,현재
prezerv,보존
prezidi,회의나 모임을 주재하다
priŝtin,프리슈티나
procion,프로키온
prodrom,전구증상
prognat,턱돌출
prokavi,바위너구리
prokliz,전접
proklor,프로클로론속
prokust,프로크루스테스
prolaps,탈출증
proleps,선취반박
promete,프로메테우스
prometi,프로메튬
promoci,승진
promulg,공포
propile,기념문
propion,프로피오닐
propuls,추진
prostat,전립선
prostet,보결분자단
prostez,어두첨가
proteid,단백질
protein,단백질
protozo,원생동물
protrud,돌출
provenc,프로방스
provizi,공급하다
provost,헌병장
psalter,프살테리움
psoriaz,건선
ptarmik,재채기풀
pteridi,고사리
pterokl,사계속
ptialaz,침아밀라아제
ptialin,프티알린
ptoleme,프톨레마이오스
ptomain,프토마인
puatier,푸아티에
puerper,산욕
pukcini,녹균속
pulover,풀오버
pultace,죽상
punktur,천자
puntili,체면
purkinj,푸르키네
purpura,자반
rabelez,라블레
radiaci,방사로
raflezi,라플레시아속
rajmond,레이먼드
ramadan,라마단
ramajan,라마야나
ramfast,큰부리새
rapsodi,광시곡
rastral,오선펜
ratifik,비준
ravenal,여인초속
reaktor,반응기
realgar,웅황
reaŭmur,레오뮈르
recesiv,열성
recidiv,재발
recital,리사이틀
redempt,속죄
refleks,반사
refrakt,굴절
regolit,레골리스
regulus,레굴루스
rejnald,레이날드
rekuper,회수
rekursi,재귀
rekviem,레퀴엠
remburs,대금상환
remolad,레물라드
renegat,배교자
renklod,레네클로드
rentgen,뢴트겐
reptili,파충류
respons,책임
restaŭr,복원
restitu,반환
retikul,그물상
retinal,레티날
reversi,복귀돌연변이
revulsi,전환충혈
rezolut,단호
